Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
16-March-2023,3705.05,3809.10,3705.05,3799.95,3783.922648238965670976,4486,861,16974677.00,1898,42.31,104.05,94.90
15-March-2023,3765.00,3786.00,3722.05,3727.15,3751.385087305332704105,4238,973,15898370.00,1918,45.26,63.95,-37.85
14-March-2023,3762.45,3793.50,3735.80,3753.30,3766.272783062289045719,6518,1537,24548566.00,1796,27.55,57.70,-9.15
13-March-2023,3781.05,3837.70,3771.00,3778.50,3792.482442138866719872,7518,1418,28511883.00,4961,65.99,66.70,-2.55
10-March-2023,3811.00,3846.35,3800.00,3822.00,3818.123069668749263232,8483,1606,32389138.00,1896,22.35,46.35,11.00
9-March-2023,3783.20,3838.40,3783.20,3814.95,3823.995476392422957308,3537,822,13525472.00,858,24.26,55.20,31.75
8-March-2023,3705.00,3816.00,3705.00,3810.30,3784.007470081561094595,13119,2515,49642394.00,3840,29.27,111.00,105.30
6-March-2023,3692.15,3774.45,3692.15,3723.85,3747.986291656818718978,4231,1002,15857730.00,2231,52.73,82.30,31.70
3-March-2023,3715.70,3747.40,3698.00,3733.85,3722.144871241547978708,6951,1364,25872629.00,1682,24.20,49.40,18.15
2-March-2023,3739.95,3753.65,3680.60,3715.70,3723.989152542372881355,4425,760,16478652.00,1240,28.02,73.05,-24.25
1-March-2023,3660.50,3747.30,3640.95,3722.50,3703.932387179078296922,6271,1268,23227360.00,1775,28.30,106.35,62.00
28-February-2023,3640.75,3742.30,3625.85,3660.90,3689.319673161533626649,15910,2860,58697076.00,3069,19.29,116.45,20.15
27-February-2023,3805.00,3805.00,3625.05,3640.75,3677.413057961359093937,27018,4363,99356346.00,7851,29.06,179.95,-164.25
24-February-2023,3801.20,3872.00,3801.20,3850.65,3854.447064989517819706,3816,1002,14708570.00,1223,32.05,70.80,49.45
23-February-2023,3873.75,3873.75,3816.65,3833.45,3836.287117405207857469,4378,844,16795265.00,1128,25.77,57.10,-40.30
22-February-2023,3838.75,3890.05,3800.90,3840.05,3851.827133479212253829,4570,985,17602850.00,1164,25.47,89.15,1.30
21-February-2023,3916.25,3918.95,3827.70,3836.10,3854.718510786360473208,2874,766,11078461.00,1241,43.18,91.25,-80.15
20-February-2023,3870.05,3934.40,3870.05,3900.55,3914.276834116371521503,2767,674,10830804.00,690,24.94,64.35,30.50
17-February-2023,3851.05,3918.20,3851.05,3893.90,3903.448566272308000802,4987,655,19466498.00,3223,64.63,67.15,42.85
16-February-2023,3915.00,3930.95,3891.65,3905.50,3908.654257279764098783,5426,1263,21208358.00,2840,52.34,39.30,-9.50
15-February-2023,3863.00,3911.95,3850.85,3906.20,3871.643790849673202614,6732,1268,26063906.00,3867,57.44,61.10,43.20
14-February-2023,3888.90,3904.30,3863.00,3874.60,3883.913659673659673659,10725,1636,41654974.00,7908,73.73,41.30,-14.30
13-February-2023,3845.00,3911.00,3827.00,3883.60,3882.964928520004113956,9723,1761,37754068.00,4548,46.78,84.00,38.60
10-February-2023,3825.05,3847.75,3800.00,3832.10,3826.542238267148014440,5540,1422,21199044.00,2751,49.66,47.75,7.05
9-February-2023,3855.05,3890.35,3834.05,3846.55,3853.421740516416958877,3137,896,12088184.00,925,29.49,56.30,-8.50
