Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
16-March-2023,3009.00,3080.00,2995.85,3035.40,3043.077567792326381528,61327,3084,186622818.00,48848,79.65,84.15,26.40
15-March-2023,3066.05,3066.05,3000.75,3008.50,3027.958556149732620320,2992,783,9059652.00,1236,41.31,65.30,-57.55
14-March-2023,3049.95,3049.95,2985.65,3010.75,3014.002050861361771944,14628,3073,44088822.00,4283,29.28,64.30,-39.20
13-March-2023,3121.00,3122.95,3026.60,3034.60,3077.588682689382415576,6574,1410,20232068.00,2288,34.80,96.35,-86.40
10-March-2023,3126.40,3146.35,3095.15,3115.45,3111.348244734202607823,39880,1885,124080568.00,36431,91.35,51.20,-10.95
9-March-2023,3204.10,3217.75,3142.60,3147.45,3179.600716495684741898,6141,938,19525928.00,1937,31.54,75.15,-56.65
8-March-2023,3160.00,3210.00,3151.00,3204.05,3185.823445951937572049,11277,2210,35926531.00,4909,43.53,59.00,44.05
6-March-2023,3140.00,3169.10,3131.20,3166.60,3155.279084967320261437,9180,1773,28965462.00,4464,48.63,37.90,26.60
3-March-2023,3131.35,3148.95,3115.00,3129.35,3133.007927070947284978,5046,952,15809158.00,1370,27.15,33.95,-2.00
2-March-2023,3159.95,3159.95,3098.00,3123.05,3125.710862865947611710,12980,2248,40571727.00,3544,27.30,61.95,-36.90
1-March-2023,3085.05,3142.00,3085.05,3138.90,3114.270295954385012218,7366,1258,22939715.00,1708,23.19,56.95,53.85
28-February-2023,3129.50,3180.00,3095.00,3104.60,3126.520042706007958846,10303,1654,32212536.00,4460,43.29,85.00,-24.90
27-February-2023,3221.85,3221.85,3103.35,3129.85,3137.851555857847304880,11762,2214,36907410.00,3750,31.88,118.50,-92.00
24-February-2023,3250.00,3250.00,3164.45,3203.85,3189.908474415516669037,21087,3292,67265600.00,7155,33.93,85.55,-46.15
23-February-2023,3229.75,3268.50,3221.60,3245.20,3252.386229086229086229,7770,1572,25271041.00,1076,13.85,46.90,15.45
22-February-2023,3251.10,3268.35,3218.15,3247.85,3240.932520743079521257,13619,2327,44138260.00,3889,28.56,50.20,-3.25
21-February-2023,3312.55,3312.55,3265.00,3275.95,3280.146268184693232131,6324,957,20743645.00,1561,24.68,47.55,-36.60
20-February-2023,3285.75,3335.45,3275.00,3289.70,3304.829048287782218861,18514,2848,61185605.00,5587,30.18,60.45,3.95
17-February-2023,3304.95,3304.95,3241.00,3285.70,3271.579857743291302942,6186,1332,20237993.00,1312,21.21,63.95,-19.25
16-February-2023,3320.05,3343.00,3270.00,3287.90,3309.405350168044327368,22018,3786,72866487.00,7237,32.87,73.00,-32.15
15-February-2023,3199.60,3340.00,3199.60,3312.50,3290.433993188045788624,39049,5027,128488157.00,4571,11.71,140.40,112.90
14-February-2023,3262.00,3299.00,3146.25,3174.85,3226.512724844866860419,25462,4243,82153467.00,4448,17.47,152.75,-87.15
13-February-2023,3205.05,3271.00,3205.05,3252.40,3248.071524870503086638,14093,1989,45775072.00,5002,35.49,65.95,47.35
10-February-2023,3230.00,3238.00,3198.60,3212.80,3214.883237822349570200,2792,673,8975954.00,794,28.44,39.40,-17.20
9-February-2023,3228.05,3250.00,3195.70,3236.75,3222.840812870448772226,4724,866,15224700.00,864,18.29,54.30,8.70
8-February-2023,3260.05,3275.05,3203.35,3226.15,3225.668328495816971145,29285,3072,94463697.00,17513,59.80,71.70,-33.90
7-February-2023,3268.30,3297.80,3239.80,3276.40,3267.792295562063527821,4439,801,14505730.00,1114,25.10,58.00,8.10
6-February-2023,3316.45,3316.45,3223.50,3260.65,3253.746567853237759688,8231,1318,26781588.00,2378,28.89,92.95,-55.80
3-February-2023,3250.00,3325.60,3199.00,3316.45,3263.390713036720419661,10294,1964,33593344.00,3607,35.04,126.60,66.45
2-February-2023,3324.95,3324.95,3185.25,3216.75,3223.067207757419907853,37332,5134,120323545.00,22765,60.98,139.70,-108.20
1-February-2023,3220.05,3352.90,3220.05,3305.40,3308.094145169448659585,31632,5040,104641634.00,15014,47.46,132.85,85.35
31-January-2023,3181.05,3276.00,3177.95,3266.20,3240.839831104855735397,14210,2535,46052334.00,7406,52.12,98.05,85.15
30-January-2023,3167.60,3213.85,3100.00,3191.50,3139.390605557859809207,9644,1701,30276283.00,3189,33.07,113.85,23.90
27-January-2023,3216.00,3264.85,3128.25,3167.60,3187.421214450422751729,14311,3456,45615185.00,5148,35.97,136.60,-48.40
25-January-2023,3240.00,3240.00,3185.00,3220.95,3211.921988197476370963,20843,2298,66946090.00,14216,68.21,55.00,-19.05
24-January-2023,3201.05,3234.00,3178.45,3224.50,3209.869597069597069597,4095,934,13144416.00,911,22.25,55.55,23.45
23-January-2023,3152.10,3223.15,3144.20,3202.20,3198.624630021141649048,9460,1663,30258989.00,4760,50.32,78.95,50.10
20-January-2023,3169.95,3193.80,3141.05,3147.90,3164.226164079822616407,7216,1549,22833056.00,3054,42.32,52.75,-22.05
19-January-2023,3179.00,3180.00,3134.80,3167.80,3155.842465753424657534,6716,1309,21194638.00,2062,30.70,45.20,-11.20
18-January-2023,3160.70,3189.00,3151.00,3178.35,3172.831514679137438295,7698,1377,24424457.00,4099,53.25,38.00,17.65
17-January-2023,3169.95,3192.00,3113.00,3184.30,3171.321105243304413428,10604,1753,33628689.00,6707,63.25,79.00,14.35
16-January-2023,3165.00,3179.95,3100.05,3139.35,3135.840268325879836671,10286,2288,32255253.00,2917,28.36,79.90,-25.65
13-January-2023,3103.25,3193.30,3060.00,3164.80,3134.730716745727467671,15389,2912,48240371.00,5830,37.88,133.30,61.55
12-January-2023,3140.10,3156.70,3096.00,3103.25,3117.479350729402095746,4867,1055,15172772.00,1706,35.05,60.70,-36.85
11-January-2023,3167.00,3167.40,3097.15,3136.15,3119.230648944487881157,11511,1938,35905464.00,2953,25.65,70.25,-30.85
10-January-2023,3246.95,3263.60,3143.45,3167.40,3179.025810207646031437,10306,2082,32763040.00,3370,32.70,120.15,-79.55
9-January-2023,3251.10,3275.00,3230.25,3261.20,3253.387541345093715545,9070,1737,29508225.00,4114,45.36,44.75,10.10
6-January-2023,3255.05,3275.25,3237.35,3251.05,3250.667638483965014577,2744,701,8919832.00,581,21.17,37.90,-4.00
5-January-2023,3216.35,3265.00,3202.85,3257.35,3244.495642785532505591,12967,2256,42071375.00,7139,55.06,62.15,41.00
4-January-2023,3212.55,3243.90,3188.40,3216.30,3208.101701499494988734,25742,1736,82582954.00,2271,8.82,55.50,3.75
3-January-2023,3228.85,3239.65,3206.15,3212.55,3221.358648210500062351,8019,1524,25832075.00,2552,31.82,33.50,-16.30
2-January-2023,3215.20,3248.70,3203.55,3229.00,3220.728258764284330815,15489,2763,49885860.00,5677,36.65,45.15,13.80
