Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
16-March-2023,1156.15,1175.00,1140.40,1167.95,1160.051426725939435388,52638,2864,61062787.00,25124,47.73,34.60,11.80
15-March-2023,1169.95,1174.40,1153.85,1159.95,1165.180485527544351073,32130,2112,37437249.00,12343,38.42,20.55,-10.00
14-March-2023,1191.05,1196.00,1157.25,1160.25,1171.657426817945588638,171251,10942,200647506.00,53132,31.03,38.75,-30.80
13-March-2023,1220.05,1231.70,1182.80,1195.15,1198.089612284475303052,491417,10717,588761603.00,410508,83.54,48.90,-24.90
10-March-2023,1246.40,1255.50,1225.00,1226.70,1235.282352161230442853,45252,3108,55898997.00,17410,38.47,30.50,-19.70
9-March-2023,1285.40,1292.05,1244.35,1247.55,1257.881790902595856156,104975,8301,132046141.00,51162,48.74,47.70,-37.85
8-March-2023,1269.80,1292.00,1259.05,1290.20,1277.319232894009943966,25342,1754,32369824.00,6060,23.91,32.95,20.40
6-March-2023,1266.65,1284.60,1266.65,1269.80,1277.230731364275668073,28440,4313,36324442.00,17306,60.85,17.95,3.15
3-March-2023,1255.25,1276.00,1253.00,1268.15,1267.221900583472793884,44218,3424,56034018.00,19233,43.50,23.00,12.90
2-March-2023,1277.00,1278.60,1250.00,1251.90,1257.655128326546074438,42236,4388,53118322.00,19500,46.17,28.60,-25.10
1-March-2023,1279.85,1305.50,1269.85,1273.65,1288.906720936490850376,59456,4442,76633238.00,17054,28.68,35.65,-6.20
28-February-2023,1265.85,1293.00,1259.65,1269.80,1278.510702024802073845,57092,4355,72992733.00,15136,26.51,33.35,3.95
27-February-2023,1266.05,1285.00,1248.65,1257.40,1261.686472963913733056,61159,6168,77163483.00,25252,41.29,36.35,-8.65
24-February-2023,1315.65,1318.75,1278.05,1280.55,1295.245537590409413638,45211,3062,58559346.00,11885,26.29,40.70,-35.10
23-February-2023,1325.00,1325.00,1305.35,1313.45,1315.830872725630953993,22149,2191,29144338.00,5815,26.25,19.65,-11.55
22-February-2023,1348.10,1352.00,1311.50,1318.65,1333.486569888734353268,23008,2017,30680859.00,8064,35.05,40.50,-29.45
21-February-2023,1347.35,1361.85,1341.30,1351.80,1354.242870722433460076,23144,1772,31342597.00,13602,58.77,20.55,4.45
20-February-2023,1341.35,1354.65,1333.15,1346.00,1347.868907139053171511,35677,1834,48087919.00,23316,65.35,21.50,4.65
17-February-2023,1364.85,1372.45,1332.90,1341.35,1351.000091463293394361,251467,2981,339731940.00,215812,85.82,39.55,-23.50
16-February-2023,1385.95,1396.00,1364.30,1367.85,1381.563740746336304577,33095,2434,45722852.00,12528,37.85,31.70,-18.10
15-February-2023,1369.95,1382.35,1361.55,1379.15,1372.264160061859655905,31038,1537,42592335.00,16895,54.43,20.80,9.20
14-February-2023,1355.00,1376.55,1350.65,1362.95,1371.342815994053334159,64574,2113,88553091.00,45190,69.98,25.90,7.95
13-February-2023,1374.00,1383.85,1325.25,1352.60,1351.967237114442929981,79236,3965,107124476.00,17994,22.71,58.60,-21.40
10-February-2023,1386.95,1387.00,1351.25,1365.20,1370.910215284523459913,88534,5500,121372165.00,21292,24.05,35.75,-21.75
9-February-2023,1362.25,1386.00,1362.25,1372.60,1373.117331062268662583,61058,4001,83839798.00,24571,40.24,23.75,10.35
8-February-2023,1375.00,1379.35,1359.70,1373.20,1371.747837503861600247,38844,3132,53284173.00,23110,59.49,19.65,-1.80
7-February-2023,1378.05,1385.25,1360.70,1367.10,1371.874380267724343083,16136,1476,22136565.00,5283,32.74,24.55,-10.95
6-February-2023,1392.00,1392.00,1360.25,1375.40,1373.093263957775739766,53429,4251,73363000.00,21807,40.81,31.75,-16.60
3-February-2023,1369.85,1391.85,1351.00,1388.05,1370.889325419028389325,82214,6601,112706295.00,50581,61.52,40.85,18.20
2-February-2023,1352.10,1378.00,1330.15,1352.70,1356.602825635063242081,56766,5024,77008916.00,19673,34.66,47.85,0.60
1-February-2023,1383.00,1389.90,1322.60,1352.20,1368.900081558676937018,55175,4384,75529062.00,12485,22.63,67.30,-30.80
31-January-2023,1345.50,1384.95,1335.25,1378.60,1361.787323349890939751,109114,8477,148590062.00,70103,64.25,49.70,33.10
30-January-2023,1320.60,1342.00,1304.55,1331.65,1327.637433549457640660,65086,4649,86410610.00,31155,47.87,37.45,11.05
27-January-2023,1315.30,1340.00,1287.00,1320.60,1318.349840418307754991,58904,4252,77656079.00,18809,31.93,53.00,5.30
25-January-2023,1327.00,1331.75,1306.10,1311.30,1319.464463191956546862,17306,1453,22834652.00,6593,38.10,25.65,-15.70
