Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
16-March-2023,8473.05,8526.95,8413.10,8435.80,8469.272140601400521763,7283,1992,61681709.00,2907,39.91,113.85,-37.25
15-March-2023,8621.10,8700.65,8434.50,8472.05,8582.440038818799389990,14426,3320,123810280.00,4807,33.32,266.15,-149.05
14-March-2023,8530.00,8543.05,8448.55,8515.50,8485.229635901778154106,5905,1407,50105281.00,1662,28.15,94.50,-14.50
13-March-2023,8580.00,8637.60,8482.80,8517.60,8565.558504398826979472,6820,1283,58417109.00,1619,23.74,154.80,-62.40
10-March-2023,8545.00,8625.00,8480.00,8598.05,8560.973065779590084773,9319,2366,79779708.00,1965,21.09,145.00,53.05
9-March-2023,8712.00,8732.15,8534.60,8542.40,8626.349038337420937136,7747,2592,66828326.00,3218,41.54,197.55,-169.60
8-March-2023,8600.05,8705.00,8600.05,8693.50,8672.423314689431851633,3397,1143,29460222.00,1132,33.32,104.95,93.45
6-March-2023,8620.00,8655.20,8596.60,8630.65,8627.856115107913669064,3058,1017,26383984.00,858,28.06,58.60,10.65
3-March-2023,8590.00,8628.15,8552.00,8596.60,8590.932409972299168975,7220,1979,62026532.00,3582,49.61,76.15,6.60
2-March-2023,8764.00,8769.40,8516.95,8551.10,8609.603899030876718503,8874,2419,76401625.00,2736,30.83,252.45,-212.90
1-March-2023,8630.05,8775.00,8620.10,8763.60,8728.394940629839958699,7748,2144,67627604.00,3641,46.99,154.90,133.55
28-February-2023,8663.95,8706.80,8609.90,8625.80,8654.140231342101093329,6311,1870,54616279.00,2926,46.36,96.90,-38.15
27-February-2023,8650.00,8650.00,8534.20,8634.15,8601.471901155838979673,5018,1236,43162186.00,1344,26.78,115.80,-15.85
24-February-2023,8710.10,8736.00,8612.00,8659.50,8670.426583668985719516,5462,1531,47357870.00,1485,27.19,124.00,-50.60
23-February-2023,8667.05,8749.50,8616.65,8745.05,8736.270558146532270197,99705,1923,871049856.00,95275,95.56,132.85,78.00
22-February-2023,8675.00,8717.35,8588.60,8654.80,8657.176200953428676200,5454,1257,47216239.00,1639,30.05,128.75,-20.20
21-February-2023,8660.05,8717.20,8642.80,8668.60,8673.765130054081895441,3883,1116,33680230.00,1116,28.74,74.40,8.55
20-February-2023,8807.05,8850.00,8675.05,8690.35,8755.500637664730055264,7057,2127,61787568.00,3005,42.58,174.95,-116.70
17-February-2023,8730.05,8873.90,8730.05,8807.05,8824.290926320777067045,4221,1347,37247332.00,1330,31.51,143.85,77.00
16-February-2023,8878.00,8883.35,8789.10,8803.85,8837.688040712468193384,5895,1917,52098171.00,2062,34.98,94.25,-74.15
15-February-2023,8798.95,8895.90,8739.25,8845.55,8841.642761093679964141,11155,2561,98628525.00,3670,32.90,156.65,46.60
14-February-2023,8801.05,8847.00,8765.00,8774.60,8807.872313527180783817,3955,1040,34835135.00,1764,44.60,82.00,-26.45
13-February-2023,8808.95,8861.20,8752.50,8809.45,8810.562237174095878889,9512,1704,83806068.00,2425,25.49,108.70,0.50
10-February-2023,8790.00,8874.00,8775.00,8814.25,8828.061422000766577232,10436,2352,92129649.00,3747,35.90,99.00,24.25
9-February-2023,8831.40,8831.95,8700.00,8802.10,8774.705894247295521180,9891,1438,86790616.00,1201,12.14,131.95,-29.30
8-February-2023,8790.00,8853.80,8676.25,8831.40,8766.940316686967113276,5747,1231,50383606.00,1282,22.31,177.55,41.40
7-February-2023,8910.00,8928.00,8741.00,8754.15,8800.647096362476068921,6268,1505,55162456.00,2399,38.27,187.00,-155.85
6-February-2023,8910.00,8935.05,8820.05,8907.80,8871.835627150453550203,6394,1929,56726517.00,2666,41.70,115.00,-2.20
