Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
16-March-2023,413.50,418.70,405.00,415.65,412.713604430239922235,339485,8260,140110078.00,66073,19.46,13.70,2.15
15-March-2023,421.40,424.75,410.15,411.25,416.573654153019232384,571536,17900,238086840.00,255520,44.71,14.60,-10.15
14-March-2023,422.40,424.05,413.55,416.75,418.467356164430227527,293547,8543,122839837.00,87533,29.82,10.50,-5.65
13-March-2023,435.00,437.00,419.35,422.40,427.918031598984417893,358809,9500,153540841.00,107951,30.09,17.65,-12.60
10-March-2023,433.85,437.85,431.15,435.75,435.441344888764851287,401312,8372,174747837.00,76582,19.08,6.70,1.90
9-March-2023,438.30,442.00,431.35,432.20,435.214524869697283490,521478,12471,226954800.00,148124,28.40,10.65,-6.10
8-March-2023,438.35,441.25,436.20,439.45,438.636688575493902276,262147,6613,114987292.00,81369,31.04,5.05,1.10
6-March-2023,431.00,441.30,430.00,439.95,436.961557088014367221,396458,8703,173236905.00,151679,38.26,11.30,8.95
3-March-2023,422.00,430.55,422.00,428.00,426.118240832443139307,231223,5584,98528338.00,76244,32.97,8.55,6.00
2-March-2023,425.05,426.00,419.60,420.45,422.274735471353933265,189677,5303,80095805.00,51691,27.25,6.40,-4.60
1-March-2023,421.00,428.00,421.00,425.95,425.596484039314108802,175713,4942,74782835.00,58096,33.06,7.00,4.95
28-February-2023,418.20,424.80,418.20,420.60,421.890199557649293363,240081,6871,101287821.00,64307,26.79,6.60,2.40
27-February-2023,427.70,428.25,413.35,417.90,418.382712946308180102,381939,10266,159796675.00,111790,29.27,14.90,-9.80
24-February-2023,434.50,436.85,427.00,427.70,429.549178383711884024,421608,11816,181101370.00,120081,28.48,9.85,-6.80
23-February-2023,427.20,436.50,427.10,433.20,432.023014548277197201,539789,14391,233201271.00,199653,36.99,9.40,6.00
22-February-2023,436.00,436.00,428.50,429.50,431.334369588895715801,572896,17083,247109735.00,229832,40.12,7.50,-6.50
21-February-2023,445.95,445.95,435.50,436.55,440.235600264108439818,283217,6735,124682206.00,98266,34.70,10.45,-9.40
20-February-2023,441.45,445.20,436.50,442.85,441.624646246306280416,320138,7993,141380831.00,81447,25.44,8.70,1.40
17-February-2023,435.60,442.25,435.60,439.90,440.072448704282788788,226091,4990,99496420.00,53606,23.71,6.65,4.30
16-February-2023,444.05,447.90,440.60,441.55,443.568892101876420025,251756,5624,111671130.00,71459,28.38,7.30,-2.50
15-February-2023,438.20,444.80,438.10,444.00,441.032063593683311993,299904,5759,132267280.00,49579,16.53,6.70,5.80
14-February-2023,441.20,444.20,434.40,440.35,439.451786747804805450,604730,13510,265749679.00,197564,32.67,9.80,-0.85
13-February-2023,445.30,446.90,439.05,441.10,442.469711539910830291,331727,7626,146779150.00,93613,28.22,7.85,-4.20
10-February-2023,437.00,447.75,431.30,445.60,441.042954076503888683,453624,8198,200067669.00,98611,21.74,16.45,8.60
9-February-2023,439.05,440.60,433.65,436.65,436.171368021334341751,253863,6072,110727772.00,58495,23.04,6.95,-2.40
8-February-2023,435.65,441.00,431.60,440.10,437.137032214365376418,342518,7827,149727302.00,82056,23.96,9.40,4.45
7-February-2023,442.00,443.25,432.95,435.25,436.831165469680651668,336122,7245,146828565.00,83752,24.92,10.30,-6.75
6-February-2023,444.00,447.10,439.50,441.90,442.609109812852757698,302970,7654,134097282.00,74700,24.66,7.60,-2.10
3-February-2023,445.55,450.75,442.40,445.45,445.905437772070742946,439224,9606,195852370.00,99860,22.74,8.35,-0.10
2-February-2023,446.00,449.10,440.90,444.65,444.425757967781561692,429009,10110,190662650.00,96061,22.39,8.20,-1.35
1-February-2023,455.05,461.30,437.50,446.65,452.352032965017724756,2508356,44110,1134659936.00,1097423,43.75,23.80,-8.40
31-January-2023,443.55,454.85,440.95,452.15,450.046277955931943140,846645,17112,381029431.00,286162,33.80,13.90,8.60
30-January-2023,445.00,450.10,437.70,443.55,443.889399954101786612,819204,17326,363635972.00,282195,34.45,12.40,-1.45
27-January-2023,440.00,453.20,435.85,445.55,445.067834265653580295,2478762,36302,1103217235.00,790540,31.89,17.35,5.55
25-January-2023,423.20,427.00,417.70,419.00,421.035345188682837668,787830,11941,331704276.00,147438,18.71,9.30,-4.20
24-January-2023,409.10,423.80,409.10,422.10,419.509839755870300171,2278461,40368,955836809.00,1392491,61.12,14.70,13.00
23-January-2023,406.50,411.00,405.05,408.45,408.970357447019621137,362823,7497,148383852.00,108977,30.04,5.95,1.95
20-January-2023,404.00,412.40,401.30,403.10,406.770985779373187905,550468,9319,223914411.00,96101,17.46,11.10,-0.90
19-January-2023,406.90,407.70,400.00,400.75,403.990544969958581438,520781,8714,210390600.00,134863,25.90,7.70,-6.15
18-January-2023,415.40,416.00,407.60,408.40,410.154681600805436697,317840,7147,130363564.00,141613,44.55,8.40,-7.00
17-January-2023,411.10,419.35,411.10,415.25,416.668187649209006528,807592,18246,336497895.00,421306,52.17,8.25,4.15
16-January-2023,412.60,414.85,407.80,413.15,411.405658381612301023,269441,7353,110849552.00,65046,24.14,7.05,0.55
13-January-2023,412.20,416.40,408.00,411.45,411.627206403998263466,472205,9057,194372425.00,59303,12.56,8.40,-0.75
12-January-2023,419.20,420.45,410.00,412.20,414.652297383926274657,489818,10791,203104159.00,112185,22.90,10.45,-7.00
11-January-2023,415.55,419.95,413.55,418.05,417.540041785323666949,1476595,28375,616537538.00,655560,44.40,6.40,2.50
10-January-2023,399.30,417.70,399.30,413.05,412.089290242524833883,1959923,28422,807663278.00,530938,27.09,18.40,13.75
9-January-2023,386.00,392.50,384.85,389.40,389.930749669454336029,986248,20398,384568422.00,467263,47.38,7.65,3.40
