Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
22-March-2023,1730.00,1745.35,1724.80,1739.25,1735.887834989461005721,13284,1337,23059534.00,2497,18.80,20.55,9.25
21-March-2023,1701.05,1739.70,1698.60,1723.15,1721.998721793422152303,20341,2515,35027176.00,5348,26.29,41.10,22.10
20-March-2023,1724.00,1730.30,1676.65,1697.05,1697.471875433485920377,28836,3401,48948299.00,5846,20.27,53.65,-26.95
17-March-2023,1775.00,1775.00,1722.40,1728.80,1743.472948438634713144,27540,2864,48015245.00,7339,26.65,52.60,-46.20
16-March-2023,1740.40,1767.00,1721.00,1753.15,1744.144186922931976634,26535,3121,46280866.00,5800,21.86,46.00,12.75
15-March-2023,1750.05,1760.00,1714.00,1740.40,1742.130282015718908922,32445,3555,56523417.00,5599,17.26,46.00,-9.65
14-March-2023,1771.05,1776.30,1695.50,1738.55,1745.489381551718288835,58954,5547,102903581.00,9264,15.71,80.80,-32.50
13-March-2023,1850.05,1870.00,1765.00,1770.10,1802.244021826352110415,49848,4979,89838260.00,11354,22.78,105.00,-79.95
10-March-2023,1845.00,1858.80,1820.10,1847.15,1844.267629071847568332,24037,2584,44330661.00,5687,23.66,38.70,2.15
9-March-2023,1890.00,1895.55,1848.70,1860.15,1863.996060846298681993,40364,4009,75238337.00,10755,26.64,46.85,-29.85
8-March-2023,1866.00,1894.55,1846.85,1887.55,1875.542235476960557819,23807,2571,44651034.00,6366,26.74,47.70,21.55
6-March-2023,1905.00,1930.80,1855.70,1865.70,1888.067969699803609838,106930,7186,201891108.00,19819,18.53,75.10,-39.30
3-March-2023,1839.80,1916.45,1830.00,1894.05,1879.049946843720538382,99706,9016,187352554.00,32244,32.34,86.45,54.25
2-March-2023,1760.05,1806.00,1736.00,1802.05,1778.686454890741380160,40546,4354,72118621.00,8803,21.71,70.00,42.00
