Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
22-March-2023,2280.10,2291.30,2270.00,2276.65,2281.065365794458145693,230717,21747,526280558.00,85350,36.99,21.30,-3.45
21-March-2023,2222.00,2273.85,2218.00,2270.05,2255.218609789335953240,441746,34843,996233800.00,215211,48.72,55.85,48.05
20-March-2023,2223.00,2223.00,2180.00,2201.60,2194.974444843120838815,225747,23058,495508896.00,113544,50.30,43.00,-21.40
17-March-2023,2249.00,2251.55,2212.90,2223.05,2227.243094782421146606,366281,39612,815796828.00,223404,60.99,38.65,-25.95
16-March-2023,2237.05,2254.95,2202.30,2226.05,2232.295449529424747371,253732,25079,566404789.00,141202,55.65,52.65,-11.00
15-March-2023,2284.90,2299.00,2228.00,2236.85,2260.850027321951946482,422737,54739,955744958.00,256551,60.69,71.00,-48.05
14-March-2023,2281.15,2305.00,2269.65,2276.50,2285.287866733874640933,329326,34355,752604712.00,167076,50.73,35.35,-4.65
13-March-2023,2328.00,2344.00,2275.00,2284.90,2308.909565275192767880,330968,41618,764175181.00,167655,50.66,69.00,-43.10
10-March-2023,2343.30,2343.30,2315.20,2323.15,2323.879320261127877950,337306,40621,783858438.00,176502,52.33,28.10,-20.15
9-March-2023,2419.90,2419.90,2356.15,2360.15,2375.798507437779313060,299619,32243,711834373.00,190003,63.41,63.75,-59.75
8-March-2023,2401.20,2420.00,2386.45,2417.55,2405.210739411917981199,99782,10958,239996738.00,34437,34.51,33.55,16.35
6-March-2023,2395.00,2424.50,2395.00,2407.80,2415.324643020012200394,168847,12288,407820320.00,105483,62.47,29.50,12.80
3-March-2023,2344.00,2393.00,2340.90,2385.05,2369.159341297401376292,266949,24156,632444717.00,147277,55.17,52.10,41.05
2-March-2023,2331.00,2350.80,2321.70,2327.85,2334.625639087716178366,89972,11652,210050938.00,53628,59.61,29.10,-3.15
1-March-2023,2342.20,2345.50,2323.55,2343.25,2336.848207093248568504,183724,20479,429335100.00,117417,63.91,21.95,1.05
28-February-2023,2375.00,2375.00,2314.75,2321.95,2337.221583093243625826,300235,33265,701715722.00,165915,55.26,60.25,-53.05
27-February-2023,2378.60,2389.00,2352.45,2369.10,2366.731614764764360244,247454,25999,585657205.00,132631,53.60,36.55,-9.50
24-February-2023,2375.00,2395.60,2368.65,2385.80,2380.962134988984578409,249650,21011,594407197.00,163033,65.30,26.95,10.80
23-February-2023,2376.00,2394.95,2361.50,2367.55,2381.336411579723446833,265844,21661,633063997.00,152291,57.29,33.45,-8.45
22-February-2023,2428.00,2430.00,2376.05,2379.00,2395.324043695021774755,288637,27831,691379146.00,168373,58.33,53.95,-49.00
21-February-2023,2421.00,2446.00,2412.45,2434.50,2428.715230011801590234,167774,17513,407475269.00,72052,42.95,33.55,13.50
20-February-2023,2440.40,2449.45,2410.35,2415.30,2429.073843235553146805,221415,18929,537833385.00,171934,77.65,39.10,-25.10
17-February-2023,2424.95,2446.90,2410.60,2439.85,2432.860189170820117806,105936,12547,257727477.00,46591,43.98,36.30,14.90
16-February-2023,2450.00,2463.00,2425.00,2429.65,2439.741076836549277494,277368,17228,676706103.00,169611,61.15,38.00,-20.35
15-February-2023,2387.80,2437.00,2375.00,2430.10,2417.964769854415482521,367072,18591,887567164.00,252104,68.68,62.00,42.30
14-February-2023,2325.20,2381.00,2324.00,2377.40,2361.605393668928717361,124813,13863,294759054.00,45552,36.50,57.00,52.20
13-February-2023,2337.60,2350.00,2314.05,2322.75,2325.627223307780950949,79836,10263,185668775.00,32766,41.04,35.95,-14.85
10-February-2023,2357.00,2357.00,2321.60,2336.35,2332.695785356351811998,127318,13086,296994162.00,59480,46.72,35.40,-20.65
9-February-2023,2357.35,2370.80,2334.05,2355.40,2353.929894656282357178,88852,11108,209151379.00,30586,34.42,36.75,-1.95
8-February-2023,2311.30,2359.60,2307.15,2351.80,2343.289332341454342570,268850,25015,629993337.00,130486,48.53,52.45,40.50
7-February-2023,2312.00,2327.00,2293.10,2305.90,2311.782921801558460021,225094,29368,520368465.00,99276,44.10,33.90,-6.10
6-February-2023,2325.00,2325.00,2306.75,2311.50,2312.474636750168474229,206263,30862,476977956.00,133307,64.63,18.25,-13.50
3-February-2023,2345.00,2347.90,2293.20,2329.05,2317.107490390043278406,148804,14978,344794863.00,60962,40.97,54.70,-15.95
2-February-2023,2325.00,2347.70,2311.35,2326.80,2324.535567905856154193,104181,12844,242172440.00,44697,42.90,36.35,1.80
1-February-2023,2380.00,2380.90,2305.00,2338.05,2352.603544901328117782,573669,34753,1349615723.00,377526,65.81,75.90,-41.95
31-January-2023,2385.00,2386.10,2341.70,2353.90,2355.050620164313631650,100296,10412,236202157.00,46238,46.10,44.40,-31.10
30-January-2023,2337.75,2369.40,2301.15,2351.30,2348.831485410797633088,1392194,29192,3270029101.00,1219020,87.56,68.25,13.55
27-January-2023,2381.95,2388.05,2312.10,2337.75,2334.590938216720947806,452582,59632,1056593836.00,246365,54.44,75.95,-44.20
25-January-2023,2410.00,2414.80,2381.00,2382.95,2393.973381834978924880,103914,14987,248767350.00,58915,56.70,33.80,-27.05
24-January-2023,2432.50,2443.90,2388.65,2415.15,2417.967221889857993009,349349,15122,844714431.00,250814,71.79,55.25,-17.35
23-January-2023,2450.00,2466.00,2426.00,2429.60,2441.525381090432993547,213860,19969,522144618.00,70364,32.90,40.00,-20.40
20-January-2023,2481.70,2481.70,2438.10,2442.70,2454.859676344160172861,174012,11317,427175042.00,109256,62.79,43.60,-39.00
19-January-2023,2474.20,2480.95,2457.50,2471.10,2474.386662896039849571,201558,11803,498732427.00,142838,70.87,23.45,-3.10
18-January-2023,2479.00,2491.50,2460.45,2474.60,2479.727198889712492311,126814,7526,314464125.00,77842,61.38,31.05,-4.40
17-January-2023,2453.15,2483.50,2452.00,2478.55,2466.115200299513290902,186970,13442,461089559.00,78640,42.06,31.50,25.40
16-January-2023,2474.90,2479.75,2436.05,2444.70,2454.488807622530462980,140006,10360,343643160.00,91129,65.09,43.70,-30.20
13-January-2023,2468.60,2473.20,2434.80,2467.35,2453.151561157031431991,248982,25804,610790582.00,120974,48.59,38.40,-1.25
12-January-2023,2525.00,2531.90,2465.65,2472.10,2486.411884991610149830,185343,16171,460839038.00,115683,62.42,66.25,-52.90
11-January-2023,2555.20,2558.20,2522.00,2525.50,2534.780640870143589342,127795,11916,323932292.00,85024,66.53,36.20,-29.70
10-January-2023,2604.05,2605.00,2546.05,2557.95,2571.373593113297781737,152642,12735,392499608.00,93407,61.19,58.95,-46.10
9-January-2023,2543.70,2601.80,2539.10,2596.55,2582.897136271658871929,298492,22874,770974132.00,190749,63.90,62.70,52.85
6-January-2023,2529.00,2547.50,2518.65,2537.25,2535.070144549888198320,113594,11000,287968758.00,57740,50.83,28.85,8.25
5-January-2023,2525.00,2536.00,2504.25,2513.50,2515.544678160200685164,143907,9677,362004488.00,85740,59.58,31.75,-11.50
4-January-2023,2559.00,2559.60,2514.85,2518.15,2530.522576130830528665,172926,12141,437593147.00,128295,74.19,44.75,-40.85
3-January-2023,2567.70,2573.00,2548.05,2557.00,2558.559680879198377949,136124,13214,348281378.00,87348,64.17,24.95,-10.70
2-January-2023,2556.90,2580.00,2548.20,2575.15,2565.037494559365908414,174612,14042,447886327.00,98899,56.64,31.80,18.25
30-December-2022,2547.00,2576.90,2542.55,2548.20,2560.573073447786239834,77470,7964,198367596.00,18712,24.15,34.35,1.20
29-December-2022,2532.05,2549.00,2526.50,2542.55,2536.476648709843603915,157229,13560,398807687.00,103570,65.87,22.50,10.50
28-December-2022,2535.90,2549.90,2521.25,2544.45,2537.520509101672339795,168925,13441,428650652.00,105693,62.57,28.65,8.55
27-December-2022,2529.00,2548.80,2514.35,2545.05,2534.556939357379745397,184837,18372,468479901.00,91598,49.56,34.45,16.05
26-December-2022,2513.70,2542.05,2493.95,2524.50,2522.321150741230001467,95382,7874,240584036.00,28581,29.96,48.10,10.80
23-December-2022,2564.00,2589.75,2493.00,2501.55,2541.287539842485845539,307147,38425,780548844.00,157324,51.22,96.75,-62.45
22-December-2022,2595.20,2606.65,2565.90,2577.90,2583.664124761025068201,93106,9175,240554632.00,32813,35.24,40.75,-17.30
21-December-2022,2622.00,2633.60,2576.35,2584.40,2602.003754402714523474,77509,8722,201678709.00,27381,35.33,57.25,-37.60
20-December-2022,2593.95,2626.00,2566.60,2621.15,2592.252180514028102681,129098,12996,334654572.00,47647,36.91,59.40,27.20
19-December-2022,2583.95,2603.25,2567.70,2600.00,2583.293000695050354179,67621,6588,174684856.00,19050,28.17,35.55,16.05
16-December-2022,2570.00,2619.00,2558.10,2565.10,2591.142752639962244115,169510,18159,439224608.00,51096,30.14,60.90,-4.90
15-December-2022,2609.50,2614.90,2571.00,2578.75,2586.912954891561203591,95215,7713,246312917.00,51216,53.79,43.90,-30.75
14-December-2022,2631.20,2639.50,2611.00,2614.90,2621.790092339583529633,42452,5302,111300233.00,15669,36.91,28.50,-16.30
13-December-2022,2617.00,2633.20,2606.75,2624.20,2620.798164295548416704,65370,9896,171321576.00,26008,39.79,26.45,7.20
12-December-2022,2590.00,2623.00,2585.00,2612.25,2607.771418375236849036,117691,12262,306911226.00,47056,39.98,38.00,22.25
9-December-2022,2648.90,2660.60,2602.15,2609.10,2628.873822903035434788,155892,15996,409820398.00,81206,52.09,58.45,-39.80
8-December-2022,2665.50,2665.50,2640.05,2649.50,2651.144897631902496391,93535,7925,247974838.00,51778,55.36,25.45,-16.00
7-December-2022,2686.80,2694.35,2643.00,2649.90,2668.939274427576229882,116129,11141,309941249.00,54491,46.92,51.35,-36.90
6-December-2022,2660.00,2697.00,2660.00,2688.25,2684.595153207005193714,197739,14549,530849161.00,95692,48.39,37.00,28.25
5-December-2022,2719.95,2719.95,2678.35,2682.85,2694.095022472663849198,208698,20747,562252243.00,107755,51.63,41.60,-37.10
2-December-2022,2726.25,2747.65,2701.00,2722.65,2724.293389692846475638,114503,9191,311939766.00,33680,29.41,46.65,-3.60
1-December-2022,2736.00,2754.70,2716.00,2722.95,2740.119533634626121188,245387,20390,672389712.00,131369,53.54,38.70,-13.05
